,Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),wind direction at 100m (deg),power (MW),surface air pressure (Pa),air temperature at 2m (K),density at hub height (kg/m^3)
2007-01-01 00:00:00,2007.0,1.0,1.0,0.0,27.5,12.1974166667,318.3095,15.6399166667,93020.0253333,265.13275,1.18
2007-01-01 01:00:00,2007.0,1.0,1.0,1.0,27.5,11.4775,324.267166667,14.9005833333,93048.7146667,265.009916667,1.17683333333
2007-01-01 02:00:00,2007.0,1.0,1.0,2.0,27.5,10.0159166667,318.850833333,11.893,93088.9206667,264.76775,1.17975
2007-01-01 03:00:00,2007.0,1.0,1.0,3.0,27.5,8.84783333333,310.252416667,8.5685,93097.616,263.855583333,1.18483333333
2007-01-01 04:00:00,2007.0,1.0,1.0,4.0,27.5,8.03591666667,304.1505,6.43516666667,93101.5846667,263.6695,1.18825
2007-01-01 05:00:00,2007.0,1.0,1.0,5.0,27.5,7.88975,300.020166667,6.09425,93130.96,263.915,1.19041666667
2007-01-01 06:00:00,2007.0,1.0,1.0,6.0,27.5,7.30266666667,296.0445,4.77825,93169.7953333,264.618416667,1.19308333333
2007-01-01 07:00:00,2007.0,1.0,1.0,7.0,27.5,6.34283333333,292.862166667,3.08591666667,93199.0913333,261.572583333,1.19558333333
2007-01-01 08:00:00,2007.0,1.0,1.0,8.0,27.5,5.32125,289.443583333,1.72283333333,93212.5953333,263.792583333,1.19491666667
2007-01-01 09:00:00,2007.0,1.0,1.0,9.0,27.5,4.96666666667,277.838666667,1.34183333333,93249.9053333,265.606833333,1.19775
2007-01-01 10:00:00,2007.0,1.0,1.0,10.0,27.5,4.57116666667,269.035416667,0.98025,93272.0333333,266.804083333,1.19833333333
2007-01-01 11:00:00,2007.0,1.0,1.0,11.0,27.5,3.6055,249.66525,0.320416666667,93279.5093333,267.592666667,1.19758333333
2007-01-01 12:00:00,2007.0,1.0,1.0,12.0,27.5,3.08616666667,235.092916667,0.0870833333333,93276.9166667,268.188416667,1.19525
2007-01-01 13:00:00,2007.0,1.0,1.0,13.0,27.5,3.84808333333,219.95675,0.454416666667,93278.3653333,268.179333333,1.19291666667
2007-01-01 14:00:00,2007.0,1.0,1.0,14.0,27.5,4.798,207.379083333,1.17933333333,93282.4106667,267.62875,1.19141666667
2007-01-01 15:00:00,2007.0,1.0,1.0,15.0,27.5,5.442,206.754166667,1.85175,93262.878,265.237916667,1.19033333333
2007-01-01 16:00:00,2007.0,1.0,1.0,16.0,27.5,6.59558333333,209.9415,3.47858333333,93231.2146667,260.92975,1.18633333333
2007-01-01 17:00:00,2007.0,1.0,1.0,17.0,27.5,7.42991666667,212.874583333,5.02108333333,93223.7386667,259.939833333,1.18325
2007-01-01 18:00:00,2007.0,1.0,1.0,18.0,27.5,7.88366666667,218.273333333,6.03633333333,93251.588,261.6125,1.18208333333
2007-01-01 19:00:00,2007.0,1.0,1.0,19.0,27.5,7.83883333333,223.326916667,5.9315,93268.222,262.642583333,1.183
2007-01-01 20:00:00,2007.0,1.0,1.0,20.0,27.5,8.02908333333,226.121833333,6.393,93262.88,261.545583333,1.18333333333
2007-01-01 21:00:00,2007.0,1.0,1.0,21.0,27.5,8.4385,227.422083333,7.42516666667,93236.7093333,261.508416667,1.18341666667
2007-01-01 22:00:00,2007.0,1.0,1.0,22.0,27.5,9.34308333333,225.419083333,9.99975,93227.0213333,262.572,1.18325
2007-01-01 23:00:00,2007.0,1.0,1.0,23.0,27.5,10.3013333333,223.111,12.714,93206.268,262.828083333,1.18258333333
2007-01-02 00:00:00,2007.0,1.0,2.0,0.0,27.5,10.6656666667,227.837916667,13.6121666667,93195.5866667,259.595416667,1.18508333333
2007-01-02 01:00:00,2007.0,1.0,2.0,1.0,27.5,11.4044166667,224.466833333,14.9296666667,93179.1846667,263.901416667,1.1845
2007-01-02 02:00:00,2007.0,1.0,2.0,2.0,27.5,11.24325,223.446416667,14.52725,93169.4913333,263.343166667,1.18558333333
2007-01-02 03:00:00,2007.0,1.0,2.0,3.0,27.5,10.3925833333,224.171166667,13.0019166667,93142.864,263.63775,1.1865
2007-01-02 04:00:00,2007.0,1.0,2.0,4.0,27.5,9.72025,223.266333333,11.108,93102.9633333,264.76,1.18566666667
2007-01-02 05:00:00,2007.0,1.0,2.0,5.0,27.5,8.37766666667,227.19125,7.33133333333,93082.286,264.507333333,1.1875
2007-01-02 06:00:00,2007.0,1.0,2.0,6.0,27.5,6.45825,246.381583333,3.33816666667,93068.78,261.41125,1.19008333333
2007-01-02 07:00:00,2007.0,1.0,2.0,7.0,27.5,4.72466666667,270.460833333,1.11675,93055.2753333,259.635416667,1.19516666667
2007-01-02 08:00:00,2007.0,1.0,2.0,8.0,27.5,5.61191666667,276.879166667,2.06091666667,93020.3306667,260.143583333,1.19208333333
2007-01-02 09:00:00,2007.0,1.0,2.0,9.0,27.5,6.39308333333,276.417333333,3.09525,92993.6293333,265.339916667,1.18275
2007-01-02 10:00:00,2007.0,1.0,2.0,10.0,27.5,6.70833333333,285.1125,3.63766666667,92984.3946667,267.87025,1.17958333333
2007-01-02 11:00:00,2007.0,1.0,2.0,11.0,27.5,7.43466666667,275.91875,4.9765,92940.3753333,270.08475,1.17741666667
2007-01-02 12:00:00,2007.0,1.0,2.0,12.0,27.5,6.737,257.455583333,3.65641666667,92898.794,272.169666667,1.17283333333
2007-01-02 13:00:00,2007.0,1.0,2.0,13.0,27.5,6.7925,249.102333333,3.73866666667,92858.434,273.317333333,1.16725
2007-01-02 14:00:00,2007.0,1.0,2.0,14.0,27.5,7.23325,242.261666667,4.52216666667,92821.2013333,272.830166667,1.16208333333
2007-01-02 15:00:00,2007.0,1.0,2.0,15.0,27.5,8.0715,240.725416667,6.34016666667,92774.6613333,271.599333333,1.15525
2007-01-02 16:00:00,2007.0,1.0,2.0,16.0,27.5,7.8635,234.82025,5.82783333333,92719.806,268.874,1.15258333333
2007-01-02 17:00:00,2007.0,1.0,2.0,17.0,27.5,7.40041666667,230.614916667,4.79883333333,92700.12,266.33675,1.15116666667
2007-01-02 18:00:00,2007.0,1.0,2.0,18.0,27.5,6.98733333333,234.0485,4.02625,92681.58,266.163416667,1.14883333333
2007-01-02 19:00:00,2007.0,1.0,2.0,19.0,27.5,6.58033333333,244.1805,3.29258333333,92657.2386667,266.43475,1.15008333333
2007-01-02 20:00:00,2007.0,1.0,2.0,20.0,27.5,6.35425,250.464916667,2.93208333333,92602.996,266.287416667,1.1495
