turbine_name,cut_in_wind_speed,cut_out_wind_speed,rotor_diameter,max_power
AAER 1500-70_70m_1500kw(MT),3,20,70,1.5
AAER_A-1000-S_54m_1100kw(MT),3,20,54,1.037
AAER_A-1500-77_77m_1500kw(MT),3,20,77,1.5
AAER_A-2000-71_71m_2000kw(MT),4,25,71,2.001
AAER_A-2000-80_80m_2000kw(MT),3.5,20,80,2.001
AAER_A-2000-84_84m_2000kw(MT),3,20,84,2.001
AAER_A_1650 _77m _1650kW Class IIa (MT),3,20,77,1.651
AAER_A_1650 _82m _1650kW Class IIIa (MT),3,20,82,1.651
AWP3.6(Grid tie)_3.6m_1.6kw(MG),3,20,3,0.00132
Aeolos 18m 50kW (MG),3,25,18,0.0537
Aircon10S 7.54m 10kW (MCS certification),3.5,25,7,0.01099
Ampair 600-230 1.7m (NaREC test),3,20,1,0.00027
Ampair 6000 5.5m 6kw,3.5,20,5,0.006
Ampair_600-230_1.7m_0.7kw(MG),3,20,1,0.000732
Anelion SW3.5GT 5kW (MG),3,20,3,0.004
Atlantic Orient AOC 15-50 15m 50kw 50Hz(MG),4,22,15,0.053841
Atlantic Orient AOC 15-50 15m 50kw 60Hz(MG),4,22,15,0.065435
Atlantic Orient AOC 15-50 15m 50kw 60Hz(NERL data),4,22,15,0.06507
Aventa AV-7 12.9m 6.5kW (MG),2,14,12,0.006253
BE-Wind EOW-300 twin VAWT(MG),2,25,2,0.00275
Bergey BWCXL1_2.5m_1kw(MG),2.5,20,2,0.001234
Bergey Excel_10_7m_10kw (MCS),2.5,30,7,0.012546
Bonus 82.4m 2.3mw(MG),4,25,82,2.311111
Bonus_MkIV_44m_600kW(MG),3,25,44,0.609
C&F Green Energy CF11 9m 11kW (MCS),2.5,25,9,0.0111
C&F Green Energy CF15 11.1m 15kW (MCS),2,25,11,0.01632
C&F Green Energy CF15e 13.1m 15kW (MG),2,25,13,0.0152
C&F Green Energy CF20 13.1m 20kW (MCS),2.5,25,13,0.0213
C&F Green Energy CF50 20m 50kw (MG),2.5,30,20,0.052
C&F Green Energy CF6d 6m 6kW (MG),2.5,30,6,0.006
C&F Green Energy CF6e 8m 6kW (MG),2,25,8,0.006
Caravel 2.5kW 3.5m (MG),3.5,25,3,0.0024
ClipperLibertyC100_100m_2500kw(MG),3,25,100,2.5
ClipperLibertyC89_89m_2500kw(MG),3,25,89,2.5
